control_id,gap_status,gap_title,gap_description,recommendation,application
APD-01,gap,Absence of Access Provisioning Process and Controls,"The organization has no established process for managing user access provisioning. Access is granted on an ad-hoc basis with limited consistency, documentation, or oversight. There is a lack of tracking of access requests, approvals, or provisioning dates. Segregation of duties is not consistently enforced, and controls to prevent or detect inappropriate access rights are limited. This increases the risk of unauthorized access to the application and its data, potentially leading to data breaches, unauthorized transactions, or compliance violations.","For the system(s) listed in column E, perform the following steps: 1. Create a formally documented system access management policy 2. Implement a ticketing system or standardized request form to track access requests and approvals 3. Ensure that documented approvals are captured and retained for all access requests. 4. Ensure that system screenshots confirming what access was granted are documented for all access requests 5. Retain records of all access provisioning activities to maintain a reliable audit trail.6. Provide training to all relevant stakeholders on the newly implemented processes.7. Where possible consider establishing a formal approval workflow involving direct managers and system owners.",
APD-01,informal process,Absence of Formalized Process for Access Provisioning,"We understand that all Company employees obtain standard access to the system for expense reporting purposes and that this standard access should not be considered in-scope for SOX purposes. Therefore, this control should apply to users requesting above standard access to the system. Management has an informal process for above standard access provisioning to the system, which is often documented via email, but lacks formally documented procedures and controls for requesting, approving, and provisioning above standard access within the system. The absence of a formal access provisioning process can lead to inconsistencies in how access is requested, approved, and provisioned, increasing the risk of inappropriate or excessive access being granted without sufficient oversight.","For the system(s) listed in column E, perform the following steps: 1. Develop a formally documented system access management policy. 2. Implement a standardized request form or ticketing system for above standard access requests. 3. Establish a formal approval workflow involving direct managers and IT/Finance leadership. 4. Ensure that specific roles / permissions are documented for all above standard access requests. 5. Ensure that documented approvals are captured and retained for all above standard access requests. 6. Ensure that system screenshots confirming what access was granted are documented for all above standard access requests. 7. Retain records of all access provisioning activities to maintain a reliable audit trail. 8. Provide training to all relevant stakeholders on the newly implemented processes.",
APD-02,informal process,Absence of Formal Terminated Access Removal Process,"The organization lacks a formalized process for removing system access upon employee termination, currently relying on informal email communication. The termination notification process relies on manual HR communication to system administrators without a consistent, traceable workflow or ticketing system. While access is generally removed within a reasonable timeframe, there is no formal tracking mechanism to monitor compliance consistently. Evidence of access removal is captured through screenshots, but the overall documentation process could benefit from more structure and centralized retention for audit purposes.","For the system(s) listed in column E, perform the following steps: 1. Develop a formally documented IT terminations access removal policy outlining specific responsibilities of HR, system administrators, and Company management in the access removal process. 2. Implement a standardized ticketing system for all termination notifications to ensure consistent communication between HR and system administrators. 3. Establish a formal documentation standard that includes termination date, notification date, removal date, administrator name, and verification evidence. This should include timestamped system screenshots confirming access removal for each user. 4. Define escalation procedures for instances where access removal cannot be completed within the required three business days. 5. Ensure all evidence (tickets, screenshots, confirmation emails) is stored in a centralized repository accessible for audit purposes. 6. Provide training to all relevant stakeholders on the newly implemented processes.",
APD-02,gap,Absence of Terminated Access Removal Process,"The organization has no established process for removing system access upon employee termination. There is inconsistency in notifying system administrators when employees leave the organization, which can result in delayed or missed access removals. Documentation of access removal actions is inconsistent, with limited evidence collection, or verification procedures. This increases the risk of unauthorized system access by former employees, potentially leading to data breaches or unauthorized transactions.","For the system(s) listed in column E, perform the following steps: 1. Develop a formally documented IT terminations access removal policy outlining specific responsibilities of HR, system administrators, and Company management in the access removal process. 2. Implement a standardized ticketing system for all termination notifications to ensure consistent communication between HR and system administrators. 3. Establish a formal documentation standard that includes termination date, notification date, removal date, administrator name, and verification evidence. This should include timestamped system screenshots confirming access removal for each user. 4. Define escalation procedures for instances where access removal cannot be completed within the required three business days. 5. Ensure all evidence (tickets, screenshots, confirmation emails) is stored in a centralized repository accessible for audit purposes. 6. Provide training to all relevant stakeholders on the newly implemented processes.",
APD-03,gap,Absence of Periodic Roles Permissions Reviews,"Management is not currently performing a consistent periodic review of all actively held roles and their permissions within the system.Since the System allows for role and permission customization, the absence of a periodic review presents a risk, as modifications to existing roles could result in innapropriate access.Without regular reviews, it can be challenging to identify potential segregation of duties conflicts or excessive permissions that may exist within the roles being used in the System.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal periodic roles permissions review process, assigning clear ownership to qualified personnel. We recommend performing these reviews annually; however, a more frequent review (e.g., semi-annually) may be appropriate for high-risk roles or systems undergoing frequent role changes. 2. Create review templates for documenting roles permissions reviews and for evidencing completion each review period. 3. Maintain a complete inventory of roles within the application, including standard and custom roles. 4. Document role purposes, permissions, and user assignments to assess appropriateness and segregation of duties. 5. Implement management sign-off to certify the periodic review completion and remediation. 6. Address identified issues through formal remediation actions (ticketing, lookbacks, corrective actions). 7. Schedule recurring reviews and consider additional frequency for high-risk roles.",
APD-03,informal process,Informal Periodic Roles Permissions Review Process,"Management conducts occasional reviews of the System roles and permissions, but lacks a formalized, documented periodic review process with consistent scheduling and methodology. While some review activities occur, they are performed inconsistently without standardized templates, complete role inventories, or formal documentation requirements. Evidence collection is somewhat limited and lacks standardization, making it more challenging to demonstrate the completeness and accuracy of reviews. Without a more structured approach, the assessment of segregation of duties risks and potential excessive permissions within the System may be inconsistent.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal periodic roles permissions review process, assigning clear ownership to qualified personnel. We recommend performing these reviews annually; however, a more frequent review (e.g., semi-annually) may be appropriate for high-risk roles or systems undergoing frequent rolechanges. 2. Create review templates for documenting roles permissions reviews and for evidencing completion each review period. 3. Maintain a complete inventory of roles within the application, including standard and custom roles. 4. Document role purposes, permissions, and user assignments to assess appropriateness and segregation of duties. 5. Implement management sign-off to certify the periodic review completion and remediation. 6. Address identified issues through formal remediation actions (ticketing, lookbacks, corrective actions). 7. Schedule recurring reviews and consider additional frequency for high-risk roles.",
APD-04,gap,Absence of Periodic User Access Reviews,"Management does not currently perform periodic user access reviews to validate the appropriateness of access to in-scope IT applications for all active users, including non-human and admin accounts. Without a formal review process, there isn't a systematic way to identify inactive users whose access should be revoked or users with inappropriate access levels that need modification or removal. The lack of regular access reviews increases the risk that unauthorized or excessive access may persist, potentially allowing individuals to perform inappropriate transactions or access sensitive data. There isn't an established process for tracking, documenting, and remediating identified access issues, including the execution of lookback procedures when inappropriate access is discovered.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal user access review process with clear definitions of management ownership and responsibilities. This access reviews should default to quarterly but can be formally adjusted depending on the nature of the system (e.g., management can consider semi-annual reviews for lower risk systems like IT tools). 2. Create review templates to document these application user access reviews, including assessments of inactive, inappropriate, or terminated accounts. 3. Generate user access listings, including generic and non-human accounts, in the last few days of each review period, including all active users, their roles / permissions, and if possible, their account creation and last login dates. 4. Implement formal IPE procedures involving the documentation of report generation / query evidence. 5. Ensure that reviews are performed and any action items taken within 30 days of period end. These reviews include secondary reviews to independently evaluate the primary reviewer's access. 6. Formalize remediation / lookback procedures and define timeframes for the implementation of access changes. 7. For any users noted as having inappropriate access, the reviewer should state when the access became inappropriate. A comparison of the user's last login date (where possible to obtain) to this date should be performed to determine whether the user logged in after the date access became inappropriate. If the user logged in, management should examine audit trails or system generated reports to determine what actions the user took and whether remediation is needed. 8. For any access changes noted, retain evidence that the actions were taken as part of the review and perform final sign-off after all modifications noted by the reviewer(s) were taken.",
APD-04,informal process,Informal Periodic User Access Reviews,"Management performs occasional reviews of user access, but lacks a formalized, documented periodic review process with consistent scheduling and methodology. While some user access verification activities occur, they are performed inconsistently without standardized templates, complete user inventories, or formal documentation requirements. The current informal approach may not comprehensively cover all user types, including non-human accounts and administrative users, creating potential security gaps. Evidence collection is limited and lacks standardization, making it challenging to demonstrate the effectiveness and completeness of reviews during audit examinations. Remediation of identified access issues occurs on an ad-hoc basis without consistent tracking, defined timeframes for resolution, or formal lookback procedures to assess potential impacts.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal user access review process with clear definitions of management ownership and responsibilities. This access reviews should default to quarterly but can be formally adjusted depending on the nature of the system (e.g., management can consider semi-annual reviews for lower risk systems like IT tools). 2. Create review templates to document these application user access reviews, including assessments of inactive, inappropriate, or terminated accounts. 3. Generate user access listings, including generic and non-human accounts, in the last few days of each review period, including all active users, their roles / permissions, and if possible, their account creation and last login dates. 4. Implement formal IPE procedures involving the documentation of report generation / query evidence. 5. Ensure that reviews are performed and any action items taken within 30 days of period end. These reviews include secondary reviews to independently evaluate the primary reviewer's access. 6. Formalize remediation / lookback procedures and define timeframes for the implementation of access changes. 7. For any users noted as having inappropriate access, the reviewer should state when the access became inappropriate. A comparison of the user's last login date (where possible to obtain) to this date should be performed to determine whether the user logged in after the date access became inappropriate. If the user logged in, management should examine audit trails or system generated reports to determine what actions the user took and whether remediation is needed. 8. For any access changes noted, retain evidence that the actions were taken as part of the review and perform final sign-off after all modifications noted by the reviewer(s) were taken.",
APD-05,gap,Absence of Formalized Controls for Generic/Non-Human Account Management,"Management utilizes generic/non-human accounts within this system, which warrants careful management. The credentials for the non-human account(s) are not currently stored in a secure credential management solution (vault system), but are instead known by individual Company employees. This approach to credential management increases security risks, including the potential for unauthorized access if the individual(s) with knowledge of the credentials leaves the organization or becomes unavailable. It also makes accountability and establishing an audit trail for actions performed using the account more challenging.","For the system(s) listed in column E, perform the following steps: 1. Maintain a complete inventory of generic / non-human accounts, including purpose, access level, password knowledge, and management practices. 2. Deploy a secure credential management (vault) solution such as LastPass, CyberArk, Secret Server, or Keeper. 3. Ensure that access to the vaults where generic account credentials are stored is appropriately limited. 4. Periodically review generic accounts, confirming adherence to procedures and continued business justification. This review can often be incorporated into the periodic user access review process (see APD-04). 5. Train personnel on credential management policies and secure handling practices.",
APD-05,informal process,Informal Controls for Generic/Non-Human Account Management,"Management has established generic/non-human accounts within the system with some informal controls, but lacks a comprehensive and formalized approach to their management. While there is some awareness of which employees know these account credentials, the sharing and tracking of this information occurs through informal channels without consistent documentation. Some basic password management practices exist, but credentials are not consistently stored in a secure credential management solution (vault system), increasing potential security vulnerabilities. This inconsistent approach to credential management increases security risks and challenges in establishing accountability for actions performed using these accounts.","For the system(s) listed in column E, perform the following steps: 1. Maintain a complete inventory of generic / non-human accounts, including purpose, access level, password knowledge, and management practices. 2. Deploy a secure credential management (vault) solution such as LastPass, CyberArk, Secret Server, or Keeper. 3. Ensure that access to the vaults where generic account credentials are stored is appropriately limited. 4. Periodically review generic accounts, confirming adherence to procedures and continued business justification. This review can often be incorporated into the periodic user access review process (see APD-04). 5. Train personnel on credential management policies and secure handling practices.",
APD-06,gap,Absence of Periodic Admin Activity Log Reviews,"Management does not currently perform periodic reviews of administrator activity logs within the system, although the system has the capability to generate these logs. There isn't a formalized process for generating, assessing, and documenting the review of administrative activities such as direct data changes, transactions, and other privileged actions performed within the system. Without periodic reviews of administrator activity logs, the ability to identify, investigate, and resolve potentially inappropriate administrative actions in a timely manner is limited.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal process for the periodic review of the system administrator activity logs. We recommend performing these reviews monthly; however, the frequency can be adjusted (e.g., quarterly) based on risk factors such as the volume of administrator activity or system criticality. 2. Create review templates to document these periodic admin activity reviews, including assessments of inappropriate actions. 3. Determine which specific admin activities should be monitored (e.g., configuration changes, direct data modifications, user access changes). 4. Generate admin activity logs, including all active admins and their activities within the review period. 5. Implement formal IPE procedures, involving the documentation of report generation / query evidence. 6. Ensure that these reviews include secondary reviews to independently evaluate the primary reviewer's activities. 7. Formalize remediation / lookback procedures and define timeframes for the implementation of access changes. ",
