control_id,short_name,description,key_control,control_type,nature,frequency,scoping_headers,evaluation_criteria,risk_id,risk_description
APD-01,Access Provisioning - Automated Workflow,"New access and modified access in [INSERT SYSTEM NAME] follows a workflow that requiresapproval by the requestor's manager and the [INSERT SYSTEM NAME] application owner.Once approved, the ticketing system automatically triggers the creation or modification of the user account/role.",TRUE,IT-dependent manual,Preventative,Ad-Hoc,Access Provisioning Process,"Approvals and formal automated access requesting process present.","R-IT-01","There is a risk of unauthorized access to systems resulting in the inappropriate activity like use, disclosure, modification, damage to or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-01,Access Provisioning - Manual Approval,"New access or changes to existing user access to [INSERT SYSTEM NAME] is approved by the employee's manager prior to being provisioned by the[INSERT SYSTEM] administrators",TRUE,IT-dependent manual,Preventative,Ad-Hoc,Access Provisioning Process,"Approvals and formal manual access requesting process present.","R-IT-01","There is a risk of unauthorized access to systems resulting in the inappropriate activity like use, disclosure, modification, damage to or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-01,Access Provisioning,"New user access (including transferred individuals) is approved by the [INSERT ADMIN] and Department Head prior to users obtaining access to company systems. For an individual transferring within the company, new user access is approved by the Controller and occurs only after incompatible access rights from their previous roles have been revoked.",TRUE,IT-dependent manual,Preventative,Ad-Hoc,Access Provisioning Process,"New user/transfer provisioning process was described.","R-IT-01","There is a risk of unauthorized access to systems resulting in the inappropriate activity like use, disclosure, modification, damage to or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-01,Access Provisioning - Non-Standard,"For [INSERT SYSTEM] access above standard or view-only roles, new access or changes to existing user access are documented via ticket or email, are submitted by users' managers, and are approved by the VP of IT or SVP of Finance prior to being provisioned by the [INSERT SYSTEM] administrators.",TRUE,IT-dependent manual,Preventative,Ad-Hoc,Access Provisioning Process,"New user/transfer provisioning process was described.","R-IT-01","There is a risk of unauthorized access to systems resulting in the inappropriate activity like use, disclosure, modification, damage to or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-02,Terminated User Access Removal -Hybrid,"When a user's termination date is recorded in [INSERT HR SYSTEM NAME], an automated feed alerts [INSERT SYSTEM NAME]. This triggers an auto-generated ticket prompting the [INSERT SYSTEM NAME] admin to disable the user's access within 24 hours.",TRUE,IT-dependent manual,Preventative,Ad-Hoc,Access Removal Process,"Formal automated access removal process was described.","R-IT-01","There is a risk of unauthorized access to systems resulting in the inappropriate activity like use, disclosure, modification, damage to or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-02,Terminated User Access Removal - SSO,"When a user's termination date is recorded in [INSERT HR SYSTEM NAME], an automated feed alerts [INSERT SYSTEM NAME]. This triggers an auto-generated ticket prompting the [INSERT SYSTEM NAME] admin to disable the user's access within 3 business days",TRUE,IT-dependent manual,Preventative,Ad-Hoc,Access Removal Process,"Formal automated access removal process was described.","R-IT-01","There is a risk of unauthorized access to systems resulting in the inappropriate activity like use, disclosure, modification, damage to or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-02,Terminated User Access Removal - Manual,"When an employee is terminated, the HR team emails a termination notification to the [INSERT SYSTEM NAME] admin distribution list. The admin team manually disables the user's access within 3 business days.",TRUE,IT-dependent manual,Preventative,Ad-Hoc,Access Removal Process,"Formal manual access removal process was described.","R-IT-01","There is a risk of unauthorized access to systems resulting in the inappropriate activity like use, disclosure, modification, damage to or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-03,Annual Role Permissions Review 1,"Annually, the [INSERT SYSTEM NAME] admin team performs a review of roles within [INSERT SYSTEM NAME] to ensure the permissions associated with each role are appropriate. If any roles with inappropriate permissions are identified,risk assessment procedures and remediation steps are taken, includingadjusting the permissions, documenting the rationale, and reviewing activity logs.",TRUE,IT-dependent manual,Detective,Annually,"Role Modification Capability; Role Review","Must start with 'Yes;'","R-IT-02","There is a risk of non-required access to systems being granted to users, resulting in unauthorized activity like the use, disclosure, modification or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-03,Annual Role Permissions Review 2,"Annually, [INSERT SYSTEM NAME] admin team performs a review over all permissions assigned to user roles within NetSuite. The list of permissions is reviewed to identify any inappropriate role capabilities. Any inappropriate roles are modified timely, and the activity of users with access to those roles is researched and resolved appropriately.",TRUE,IT-dependent manual,Detective,Annually,"Role Modification Capability; Role Review","Must start with 'Yes;'","R-IT-02","There is a risk of non-required access to systems being granted to users, resulting in unauthorized activity like the use, disclosure, modification or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-04,User Access Review,"Quarterly, the [INSERT ADMIN] performs reviews of all users with access to [INSERT SYSTEM NAME] to identify any users whose access is inappropriate and needs to be modified or removed. Inappropriate access identified through this process is remediated within 5 business days, with risk investigation procedures performed if necessary.",TRUE,IT-dependent manual,Detective,Quarterly,User Access Review,"Must start with'Yes;'","R-IT-02","There is a risk of non-required access to systems being granted to users, resulting in unauthorized activity like the use, disclosure, modification or loss of financial transactions or data. This may impact the integrity of financial reporting."
